month,src,des,num
2017-07,Ayutthaya,Bangkok,1948
2017-07,Ayutthaya,Pathum Thani,2245
2017-07,Ayutthaya,Saraburi,2744
2017-07,Bangkok,Ayutthaya,2026
2017-07,Bangkok,Chachoengsao,2061
2017-07,Bangkok,Chon Buri,6974
2017-07,Bangkok,Lop Buri,479
2017-07,Bangkok,Nakhon Pathom,2213
2017-07,Bangkok,Nakhon Ratchasima,559
2017-07,Bangkok,Nonthaburi,474
2017-07,Bangkok,Pathum Thani,6219
2017-07,Bangkok,Prachin Buri,656
2017-07,Bangkok,Ratchaburi,1190
2017-07,Bangkok,Samut Prakan,967
2017-07,Bangkok,Samut Sakhon,2457
2017-07,Bangkok,Saraburi,2373
2017-07,Bangkok,Suphan Buri,773
2017-07,Buri Ram,Nakhon Ratchasima,1317
2017-07,Buri Ram,Surin,488
2017-07,Chachoengsao,Bangkok,2022
2017-07,Chachoengsao,Chon Buri,2011
2017-07,Chachoengsao,Prachin Buri,772
2017-07,Chai Nat,Nakhon Sawan,511
2017-07,Chaiyaphum,Khon Kaen,518
2017-07,Chaiyaphum,Nakhon Ratchasima,511
2017-07,Chiang Mai,Lampang,488
2017-07,Chiang Mai,Tak,472
2017-07,Chon Buri,Bangkok,6880
2017-07,Chon Buri,Chachoengsao,2153
2017-07,Chon Buri,Pathum Thani,681
2017-07,Chon Buri,Prachin Buri,1599
2017-07,Chon Buri,Samut Prakan,564
2017-07,Chon Buri,Saraburi,546
2017-07,Chumphon,Prachuap Khiri Khan,947
2017-07,Chumphon,Surat Thani,844
2017-07,Kamphaeng Phet,Tak,522
2017-07,Khon Kaen,Chaiyaphum,522
2017-07,Khon Kaen,Nakhon Ratchasima,675
2017-07,Khon Kaen,Udon Thani,557
2017-07,Lampang,Chiang Mai,475
2017-07,Lop Buri,Bangkok,535
2017-07,Lop Buri,Saraburi,2224
2017-07,Nakhon Nayok,Prachin Buri,467
2017-07,Nakhon Nayok,Saraburi,481
2017-07,Nakhon Pathom,Bangkok,2260
2017-07,Nakhon Pathom,Ratchaburi,666
2017-07,Nakhon Pathom,Samut Sakhon,576
2017-07,Nakhon Pathom,Suphan Buri,577
